time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446350000	16.9389	4.82038	10.7413	0.193919	21.9734	radar	-9.25596e+61	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9965	5.20135	10.8152	-0.550718	21.9967	lidar	-9.25596e+61	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.3225	4.74721	11.1115	0.0263167	22.0763	radar	-9.25596e+61	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.2878	5.41966	11.3791	2.51196	21.8682	lidar	-9.25596e+61	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.6024	4.73281	10.5823	-0.684824	21.8639	radar	-9.25596e+61	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7718	5.6053	10.5305	2.13741	21.6786	lidar	-9.25596e+61	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.7154	5.68122	10.8062	-0.170645	22.9887	radar	-9.25596e+61	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.1194	6.13848	11.1667	2.57274	23.3187	lidar	-9.25596e+61	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.0683	6.08119	11.45	1.28576	25.047	radar	-9.25596e+61	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.1837	6.66727	11.7072	1.88538	25.4889	lidar	-9.25596e+61	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.1944	6.91931	12.1812	0.162904	26.2257	radar	-9.25596e+61	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5384	6.77277	12.231	1.1983	26.0502	lidar	-9.25596e+61	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	20.962	5.3807	9.31401	-2.17521	26.4295	radar	-9.25596e+61	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	19.3665	7.03632	8.24204	1.83241	27.2706	lidar	-9.25596e+61	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.7804	7.36794	8.75637	-0.330815	27.0939	radar	-9.25596e+61	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0038	7.84238	9.0395	-2.52424	26.4556	lidar	-9.25596e+61	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2351	7.78263	8.93689	0.418858	26.5421	radar	-9.25596e+61	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.1432	8.10429	8.75504	-1.94692	27.2014	lidar	-9.25596e+61	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.2173	7.87804	8.87531	0.373589	27.7008	radar	-9.25596e+61	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.3497	8.29918	8.9336	0.22927	27.6928	lidar	-9.25596e+61	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.6271	8.49017	9.07949	1.45475	28.0802	radar	-9.25596e+61	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.9476	8.89615	9.54035	0.436112	30.0043	lidar	-9.25596e+61	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8288	9.00997	9.59809	1.51144	29.1397	radar	-9.25596e+61	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	20.099	9.46235	9.90808	2.01867	30.4822	lidar	-9.25596e+61	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.6481	9.7792	10.1643	2.37947	30.0144	radar	-9.25596e+61	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.1195	9.87112	10.0356	2.62934	30.8143	lidar	-9.25596e+61	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	19.2322	10.5511	10.6833	1.86563	30.8812	radar	-9.25596e+61	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1148	10.4731	10.2266	1.76864	38.0349	lidar	-9.25596e+61	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	19.7991	10.9152	10.645	-1.16765	40.2348	radar	-9.25596e+61	19.6774	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.3189	10.9901	10.9929	3.10491	36.9802	lidar	-9.25596e+61	20.371	11.0109	20.1663	10.864	0.722256	4.7
